SiPM number,SiPM type,x_left [mm],x_centre_brd [mm]
80,large,596.85,599.85
79,large,589.164275,592.16
78,small,582.5035625,582.50
77,large,575.84285,578.84
76,large,568.1571375,571.16
75,small,561.496425,561.50
74,large,554.8357125,557.84
73,large,547.15,550.15
72,large,536.85,539.85
71,large,529.164275,532.16
70,small,522.5035625,522.50
69,large,515.84285,518.84
68,large,508.1571375,511.16
67,small,501.496425,501.50
66,large,494.8357125,497.84
65,large,487.15,490.15
64,large,476.85,479.85
63,large,469.164275,472.16
62,small,462.5035625,462.50
61,large,455.84285,458.84
60,large,448.1571375,451.16
59,small,441.496425,441.50
58,large,434.8357125,437.84
57,large,427.15,430.15
56,large,416.85,419.85
55,large,409.164275,412.16
54,small,402.5035625,402.50
53,large,395.84285,398.84
52,large,388.1571375,391.16
51,small,381.496425,381.50
50,large,374.8357125,377.84
49,large,367.15,370.15
48,large,356.85,359.85
47,large,349.164275,352.16
46,small,342.5035625,342.50
45,large,335.84285,338.84
44,large,328.1571375,331.16
43,small,321.496425,321.50
42,large,314.8357125,317.84
41,large,307.15,310.15
40,large,296.85,299.85
39,large,289.164275,292.16
38,small,282.5035625,282.50
37,large,275.84285,278.84
36,large,268.1571375,271.16
35,small,261.496425,261.50
34,large,254.8357125,257.84
33,large,247.15,250.15
32,large,236.85,239.85
31,large,229.164275,232.16
30,small,222.5035625,222.50
29,large,215.84285,218.84
28,large,208.1571375,211.16
27,small,201.496425,201.50
26,large,194.8357125,197.84
25,large,187.15,190.15
24,large,176.85,179.85
23,large,169.164275,172.16
22,small,162.5035625,162.50
21,large,155.84285,158.84
20,large,148.1571375,151.16
19,small,141.496425,141.50
18,large,134.8357125,137.84
17,large,127.15,130.15
16,large,116.85,119.85
15,large,109.164275,112.16
14,small,102.5035625,102.50
13,large,95.84285,98.84
12,large,88.1571375,91.16
11,small,81.496425,81.50
10,large,74.8357125,77.84
9,large,67.15,70.15
8,large,56.85,59.85
7,large,49.164275,52.16
6,small,42.5035625,42.50
5,large,35.84285,38.84
4,large,28.1571375,31.16
3,small,21.496425,21.50
2,large,14.8357125,17.84
1,large,7.15,10.15